Name,Category,Question,Correct Answer
MathQA_challenge_test,Challenging Math,"there are 1000 buildings in a street . a sign - maker is contracted to number the houses from 1 to 1000 . how many zeroes will he need ? The options are: a ) 190 , b ) 191 , c ) 192 , d ) 193 , e ) 194",c
MathQA_challenge_test,Challenging Math,"a man bought 20 shares of rs . 50 at 5 discount , the rate of dividend being 13 . the rate of interest obtained is : The options are: a ) 27 % , b ) 87 % , c ) 15 % , d ) 66 % , e ) 88 %",c
MathQA_challenge_test,Challenging Math,"? % of 360 = 108 The options are: a ) 30 , b ) 36 , c ) 64 , d ) 72 , e ) none of these",a
MathQA_challenge_test,Challenging Math,"a corporation double its annual bonus to 100 of its employees . what percent of the employees ’ new bonus is the increase ? The options are: a ) 50 % , b ) 12 % , c ) 8 % , d ) 6 % , e ) 5 %",a
MathQA_challenge_test,Challenging Math,"a and b together do a work in 20 days . b and c together in 15 days and c and a in 12 days . then b alone can finish same work in how many days ? The options are: a ) 50 , b ) 60 , c ) 45 , d ) 35 , e ) 48",b
MathQA_challenge_test,Challenging Math,"oak street begins at pine street and runs directly east for 2 kilometers until it ends when it meets maple street . oak street is intersected every 400 meters by a perpendicular street , and each of those streets other than pine street and maple street is given a number beginning at 1 st street ( one block east of pine street ) and continuing consecutively ( 2 nd street , 3 rd street , etc . . . ) until the highest - numbered street one block west of maple street . what is the highest - numbered street that intersects oak street ? The options are: a ) 4 th , b ) 5 th , c ) 6 th , d ) 7 th , e ) 8 th",a
MathQA_challenge_test,Challenging Math,"the cost of one photocopy is $ 0.02 . however , a 25 % discount is offered on orders of more than 100 photocopies . if arthur and david have to make 80 copies each , how much will each of them save if they submit a single order of 160 copies ? The options are: a ) $ 0.32 , b ) $ 0.40 , c ) $ 0.45 , d ) $ 0.48 , e ) $ 0.54",b
MathQA_challenge_test,Challenging Math,"if 6 men and 8 women can do a piece of work in 10 days while 26 men and 48 women can do the same in 2 days , the time taken by 15 men and 20 women in doing the same type of work will be ? The options are: a ) 5 , b ) 4 , c ) 6 , d ) 7 , e ) 8",b
MathQA_challenge_test,Challenging Math,"a sum of rs . 1360 has been divided among a , b and c such that a gets 2 / 3 of what b gets and b gets 1 / 4 of what c gets . b ' s share is : The options are: a ) rs . 120 , b ) rs . 160 , c ) rs . 240 , d ) rs . 300 , e ) rs . 500",c
MathQA_challenge_test,Challenging Math,"two - third of a positive number and 16 / 216 of its reciprocal are equal . find the positive number . The options are: a ) 4 / 12 , b ) 4 / 17 , c ) 4 / 15 , d ) 4 / 11 , e ) 4 / 03",a
MathQA_challenge_test,Challenging Math,"spanish language broadcast records last 90 min on each of two sides . if it takes 3 hours to translate one hour of broadcast , how long will it take to translate 16 full records ? The options are: a ) 144 hours , b ) 124 hours , c ) 134 hours , d ) 154 hours , e ) 164 hours",a
MathQA_challenge_test,Challenging Math,"today is thursday . i came home from a trip 3 days before the day after last monday . how many days have i been home ? The options are: a ) 1 day , b ) 2 days , c ) 7 days , d ) 6 days , e ) 10 days",d
MathQA_challenge_test,Challenging Math,"a train running at the speed of 50 km / hr crosses a post in 4 seconds . what is the length of the train ? The options are: a ) 90 , b ) 120 , c ) 60 , d ) 95 , e ) 75",c
MathQA_challenge_test,Challenging Math,"if soundharya rows 49 km upstream and 77 km down steam taking 7 hours each , then the speed of the stream The options are: a ) 6 kmph , b ) 5 kmph , c ) 2 kmph , d ) 3 kmph , e ) 4 kmph",c
MathQA_challenge_test,Challenging Math,"two consultants can type up a report in 12.5 hours and edit it in 7.5 hours . if mary needs 30 hours to type the report and jim needs 12 hours to edit it alone , how many t hours will it take if jim types the report and mary edits it immediately after he is done ? The options are: a ) 41.4 , b ) 34.1 , c ) 13.4 , d ) 12.4 , e ) 10.8",a
MathQA_challenge_test,Challenging Math,"in two triangles , the ratio of the areas is 4 : 3 and the ratio of their heights is 3 : 4 . find the ratio of their bases . The options are: ['a ) 2 : 3', 'b ) 4 : 5', 'c ) 16 : 9', 'd ) 7 : 9', 'e ) 8 : 5']",c
MathQA_challenge_test,Challenging Math,"what is the probability of drawing a queen from a deck of 52 cards ? The options are: a ) 4 / 13 , b ) 1 / 13 , c ) 4 , d ) 1 , e ) 2 / 13",b
MathQA_challenge_test,Challenging Math,"how many words , with or without meaning , can be formed using all letters of the word good using each letter exactly once ? The options are: a ) 18 , b ) 20 , c ) 22 , d ) 23 , e ) 24",e
MathQA_challenge_test,Challenging Math,"the ratio of the area of a square to that of the square drawn on its diagonal is The options are: a ) 1 : 2 , b ) 1 : 0 , c ) 1 : 7 , d ) 1 : 5 , e ) 1 : 6",a
MathQA_challenge_test,Challenging Math,"what is the probability for a family with 3 children to have a girl and two boys ( assuming the probability of having a boy or a girl is equal ) ? The options are: a ) 1 / 8 , b ) 1 / 4 , c ) 1 / 2 , d ) 3 / 8 , e ) 5 / 8",d
MathQA_challenge_test,Challenging Math,"what quantity of water should be added to reduce 9 liters of 50 % acidic liquid to 30 % acidic liquid ? The options are: a ) 6 liters , b ) 8 liters , c ) 10 liters , d ) 12 liters , e ) 15 liters",a
MathQA_challenge_test,Challenging Math,"a man gains 20 % by selling an article for a certain price . if the sells it at double the price , the percentage of profit will be : The options are: a ) 327 , b ) 140 , c ) 277 , d ) 178 , e ) 112",d
MathQA_challenge_test,Challenging Math,"from a pack of 52 cards , 1 card is drawn at random . what is the probability that a red king is drawn ? The options are: a ) 1 / 2 , b ) 1 / 4 , c ) 1 / 13 , d ) 1 / 26 , e ) 1 / 52",d
MathQA_challenge_test,Challenging Math,"rani bought more apples than oranges . she sells apples at ₹ 23 apiece and makes 15 % profit . she sells oranges at ₹ 10 apiece and makes 25 % profit . if she gets ₹ 653 after selling all the apples and oranges , find her profit percentage z . The options are: a ) 16.8 % , b ) 17.4 % , c ) 17.9 % , d ) 18.5 % , e ) 19.1 %",b
MathQA_challenge_test,Challenging Math,"2 trains starting at the same time from 2 stations 200 km apart and going in opposite direction cross each other at a distance of 110 km from one of the stations . what is the ratio of their speeds ? The options are: a ) 11 : 9 , b ) 11 : 2 , c ) 91 : 9 , d ) 11 : 1 , e ) 11 : 5",a
MathQA_challenge_test,Challenging Math,"the set s consists of 5 numbers : { 1 , 2,3 , 4,5 } . if all possible subsets including the null set are created and one subset is chosen at random , what is the probability that the subset has 4 or 5 as its largest number ? The options are: a ) 1 / 2 , b ) 2 / 3 , c ) 3 / 4 , d ) 5 / 8 , e ) 11 / 16",c
MathQA_challenge_test,Challenging Math,"two men are going along a track rail in the opposite direction . one goods train crossed the first person in 20 sec . after 10 min the train crossed the other person who is coming in opposite direction in 18 sec . after the train has passed , when the two persons will meet ? The options are: a ) 95 minutes , b ) 90 minutes , c ) 88 minutes , d ) 95 minutes , e ) none of these",b
MathQA_challenge_test,Challenging Math,"what is the smallest positive integer x such that 108 x is the cube of a positive integer ? The options are: a ) 2 , b ) 4 , c ) 8 , d ) 10 , e ) 7",a
MathQA_challenge_test,Challenging Math,"8 men can dig a pit in 20 days . if a man works half as much again a s a boy , then 4 men and 9 boys can dig a similar pit in : The options are: a ) 10 days , b ) 12 days , c ) 15 days , d ) 16 days , e ) 20 days",d
MathQA_challenge_test,Challenging Math,"in a throw of dice what is the probability of ge æ « ng number greater than 4 The options are: a ) 1 / 2 , b ) 1 / 3 , c ) 1 / 5 , d ) 1 / 6 , e ) none of these",b
MathQA_challenge_test,Challenging Math,"two dogsled teams raced across a 300 mile course in wyoming . team a finished the course in 3 fewer hours than team q . if team a ' s average speed was 5 mph greater than team q ' s , what was team q ' s average mph ? The options are: a ) 12 , b ) 15 , c ) 18 , d ) 20 , e ) 25",d
MathQA_challenge_test,Challenging Math,"a cricketer whose bowling average is 12.4 runs per wicket takes 5 wickets for 26 runs and there by decreases his average by 0.4 . the number age of the family now is ? The options are: a ) 17 , b ) 98 , c ) 88 , d ) 85 , e ) 83",d
MathQA_challenge_test,Challenging Math,"out of 40 applicants to a law school , 15 majored in political science , 20 had a grade point average higher than 3.0 , and 10 did not major in political science and had a gpa equal to or lower than 3.0 . how many t applicants majored in political science and had a gpa higher than 3.0 ? The options are: a ) 5 , b ) 10 , c ) 15 , d ) 25 , e ) 35",a
MathQA_challenge_test,Challenging Math,"a man invests some money partly in 9 % stock at 96 and partly in 12 % stock at 120 . to obtain equal dividends from both , he must invest the money in the ratio ? The options are: a ) 16 : 18 , b ) 16 : 13 , c ) 16 : 15 , d ) 16 : 12 , e ) 16 : 11",c
MathQA_challenge_test,Challenging Math,"in an electric circuit , two resistors with resistances 3 ohm and 5 ohm are connected in parallel . in this case , if r is the combined resistance of these two resistors , then the reciprocal of r is equal to the sum of the reciprocals of two resistors . what is the value ? The options are: ['a ) 15 ohms', 'b ) 15 / 8 ohms', 'c ) 1 / 8 ohms', 'd ) 8 / 15 ohms', 'e ) 8 ohms']",b
MathQA_challenge_test,Challenging Math,"a and b enterd into a partnership investing rs . 16000 and rs . 12000 respectively . after 3 months , a withdrew rs . 5000 while b invested rs . 5000 more . after 3 more months . c joins the business with a capital of rs . 21000 . the share of b exceeds that of c , out of a total profit of rs . 26400 after one year by The options are: a ) rs . 2400 , b ) rs . 3000 , c ) rs . 3600 , d ) rs . 4800 , e ) none of these",c
MathQA_challenge_test,Challenging Math,"if the cost price of 20 articles is equal to the selling price of 25 articles , what is the % profit or % loss made by the merchant ? The options are: a ) 25 % loss , b ) 25 % profit , c ) 20 % loss , d ) 20 % profit , e ) 5 % profit",c
