llm,benchmark,N,stop_algo,threshold,SC_ACC,ES_ACC,ASC_ACC,CASC_ACC,SC_Avg_Steps,ES_Avg_Steps,ASC_Avg_Steps,CASC_Avg_Steps
all,all,1,PositiveN,0.5,0.5429,0.5432,0.5432,0.5308,40,14.4,12.44,2.7
gpt-4,all,1,PositiveN,0.5,0.657,0.6553,0.6553,0.6469,40,8.14,7.0,2.41
gpt-3.5,all,1,PositiveN,0.5,0.5135,0.5135,0.5125,0.5034,40,15.79,13.76,2.83
claude-3,all,1,PositiveN,0.5,0.5495,0.5506,0.5516,0.5352,40,14.26,12.21,2.63
all,gsm,1,PositiveN,0.5,0.6442,0.6446,0.6433,0.6319,40,15.5,12.64,2.93
gpt-4,gsm,1,PositiveN,0.5,0.8205,0.8154,0.8154,0.8154,40,7.84,6.63,2.42
gpt-3.5,gsm,1,PositiveN,0.5,0.634,0.634,0.631,0.618,40,17.23,14.59,3.06
claude-3,gsm,1,PositiveN,0.5,0.62,0.622,0.622,0.61,40,15.26,11.87,2.9
all,bb,1,PositiveN,0.5,0.4588,0.4574,0.4601,0.4468,40,12.02,11.1,2.39
gpt-4,bb,1,PositiveN,0.5,0.51,0.515,0.515,0.485,40,7.4,6.38,2.14
gpt-3.5,bb,1,PositiveN,0.5,0.437,0.435,0.437,0.4278,40,13.54,12.42,2.56
claude-3,bb,1,PositiveN,0.5,0.4699,0.4679,0.4719,0.4579,40,11.44,10.75,2.26
all,mathqa,1,PositiveN,0.5,0.525,0.5269,0.5255,0.5131,40,15.69,13.58,2.79
gpt-4,mathqa,1,PositiveN,0.5,0.6443,0.6392,0.6392,0.6443,40,9.21,8.02,2.68
gpt-3.5,mathqa,1,PositiveN,0.5,0.4675,0.4695,0.4675,0.4624,40,16.58,14.26,2.87
claude-3,mathqa,1,PositiveN,0.5,0.5586,0.5616,0.5606,0.5375,40,16.08,14.0,2.74
all,all,2,PositiveN,0.5,0.5429,0.5432,0.5432,0.5389,40,14.4,12.44,4.37
gpt-4,all,2,PositiveN,0.5,0.657,0.6553,0.6553,0.6553,40,8.14,7.0,3.9
gpt-3.5,all,2,PositiveN,0.5,0.5135,0.5135,0.5125,0.5152,40,15.79,13.76,4.63
claude-3,all,2,PositiveN,0.5,0.5495,0.5506,0.5516,0.5395,40,14.26,12.21,4.2
all,gsm,2,PositiveN,0.5,0.6442,0.6446,0.6433,0.6387,40,15.5,12.64,4.75
gpt-4,gsm,2,PositiveN,0.5,0.8205,0.8154,0.8154,0.8154,40,7.84,6.63,3.55
gpt-3.5,gsm,2,PositiveN,0.5,0.634,0.634,0.631,0.621,40,17.23,14.59,5.1
claude-3,gsm,2,PositiveN,0.5,0.62,0.622,0.622,0.622,40,15.26,11.87,4.63
all,bb,2,PositiveN,0.5,0.4588,0.4574,0.4601,0.4565,40,12.02,11.1,3.71
gpt-4,bb,2,PositiveN,0.5,0.51,0.515,0.515,0.5,40,7.4,6.38,3.26
gpt-3.5,bb,2,PositiveN,0.5,0.437,0.435,0.437,0.4482,40,13.54,12.42,4.02
claude-3,bb,2,PositiveN,0.5,0.4699,0.4679,0.4719,0.4559,40,11.44,10.75,3.49
all,mathqa,2,PositiveN,0.5,0.525,0.5269,0.5255,0.5209,40,15.69,13.58,4.65
gpt-4,mathqa,2,PositiveN,0.5,0.6443,0.6392,0.6392,0.6546,40,9.21,8.02,4.91
gpt-3.5,mathqa,2,PositiveN,0.5,0.4675,0.4695,0.4675,0.4746,40,16.58,14.26,4.76
claude-3,mathqa,2,PositiveN,0.5,0.5586,0.5616,0.5606,0.5405,40,16.08,14.0,4.49
all,all,3,PositiveN,0.5,0.5429,0.5432,0.5432,0.545,40,14.4,12.44,6.03
gpt-4,all,3,PositiveN,0.5,0.657,0.6553,0.6553,0.6587,40,8.14,7.0,5.35
gpt-3.5,all,3,PositiveN,0.5,0.5135,0.5135,0.5125,0.5243,40,15.79,13.76,6.41
claude-3,all,3,PositiveN,0.5,0.5495,0.5506,0.5516,0.5432,40,14.26,12.21,5.78
all,gsm,3,PositiveN,0.5,0.6442,0.6446,0.6433,0.6415,40,15.5,12.64,6.43
gpt-4,gsm,3,PositiveN,0.5,0.8205,0.8154,0.8154,0.8205,40,7.84,6.63,4.79
gpt-3.5,gsm,3,PositiveN,0.5,0.634,0.634,0.631,0.627,40,17.23,14.59,6.98
claude-3,gsm,3,PositiveN,0.5,0.62,0.622,0.622,0.621,40,15.26,11.87,6.19
all,bb,3,PositiveN,0.5,0.4588,0.4574,0.4601,0.4633,40,12.02,11.1,5.07
gpt-4,bb,3,PositiveN,0.5,0.51,0.515,0.515,0.5,40,7.4,6.38,4.37
gpt-3.5,bb,3,PositiveN,0.5,0.437,0.435,0.437,0.4583,40,13.54,12.42,5.58
claude-3,bb,3,PositiveN,0.5,0.4699,0.4679,0.4719,0.4609,40,11.44,10.75,4.71
all,mathqa,3,PositiveN,0.5,0.525,0.5269,0.5255,0.5296,40,15.69,13.58,6.59
gpt-4,mathqa,3,PositiveN,0.5,0.6443,0.6392,0.6392,0.6598,40,9.21,8.02,6.92
gpt-3.5,mathqa,3,PositiveN,0.5,0.4675,0.4695,0.4675,0.4858,40,16.58,14.26,6.67
claude-3,mathqa,3,PositiveN,0.5,0.5586,0.5616,0.5606,0.5475,40,16.08,14.0,6.44
all,all,4,PositiveN,0.5,0.5429,0.5432,0.5432,0.5485,40,14.4,12.44,7.71
gpt-4,all,4,PositiveN,0.5,0.657,0.6553,0.6553,0.6604,40,8.14,7.0,6.81
gpt-3.5,all,4,PositiveN,0.5,0.5135,0.5135,0.5125,0.5283,40,15.79,13.76,8.23
claude-3,all,4,PositiveN,0.5,0.5495,0.5506,0.5516,0.5465,40,14.26,12.21,7.37
all,gsm,4,PositiveN,0.5,0.6442,0.6446,0.6433,0.6433,40,15.5,12.64,8.08
gpt-4,gsm,4,PositiveN,0.5,0.8205,0.8154,0.8154,0.8205,40,7.84,6.63,5.96
gpt-3.5,gsm,4,PositiveN,0.5,0.634,0.634,0.631,0.636,40,17.23,14.59,8.86
claude-3,gsm,4,PositiveN,0.5,0.62,0.622,0.622,0.616,40,15.26,11.87,7.71
all,bb,4,PositiveN,0.5,0.4588,0.4574,0.4601,0.4656,40,12.02,11.1,6.43
gpt-4,bb,4,PositiveN,0.5,0.51,0.515,0.515,0.5,40,7.4,6.38,5.45
gpt-3.5,bb,4,PositiveN,0.5,0.437,0.435,0.437,0.4593,40,13.54,12.42,7.15
claude-3,bb,4,PositiveN,0.5,0.4699,0.4679,0.4719,0.4649,40,11.44,10.75,5.91
all,mathqa,4,PositiveN,0.5,0.525,0.5269,0.5255,0.5361,40,15.69,13.58,8.62
gpt-4,mathqa,4,PositiveN,0.5,0.6443,0.6392,0.6392,0.6649,40,9.21,8.02,9.07
gpt-3.5,mathqa,4,PositiveN,0.5,0.4675,0.4695,0.4675,0.4878,40,16.58,14.26,8.66
claude-3,mathqa,4,PositiveN,0.5,0.5586,0.5616,0.5606,0.5586,40,16.08,14.0,8.49
