llm,benchmark,N,stop_algo,threshold,SC_ACC,ES_ACC,ASC_ACC,CASC_ACC,SC_Avg_Steps,ES_Avg_Steps,ASC_Avg_Steps,CASC_Avg_Steps
all,all,1,ConsistencyN,0.5,0.5429,0.5432,0.5432,0.5308,40,14.4,12.44,2.7
gpt-4,all,1,ConsistencyN,0.5,0.657,0.6553,0.6553,0.6469,40,8.14,7.0,2.41
gpt-3.5,all,1,ConsistencyN,0.5,0.5135,0.5135,0.5125,0.5034,40,15.79,13.76,2.83
claude-3,all,1,ConsistencyN,0.5,0.5495,0.5506,0.5516,0.5352,40,14.26,12.21,2.63
all,gsm,1,ConsistencyN,0.5,0.6442,0.6446,0.6433,0.6319,40,15.5,12.64,2.93
gpt-4,gsm,1,ConsistencyN,0.5,0.8205,0.8154,0.8154,0.8154,40,7.84,6.63,2.42
gpt-3.5,gsm,1,ConsistencyN,0.5,0.634,0.634,0.631,0.618,40,17.23,14.59,3.06
claude-3,gsm,1,ConsistencyN,0.5,0.62,0.622,0.622,0.61,40,15.26,11.87,2.9
all,bb,1,ConsistencyN,0.5,0.4588,0.4574,0.4601,0.4468,40,12.02,11.1,2.39
gpt-4,bb,1,ConsistencyN,0.5,0.51,0.515,0.515,0.485,40,7.4,6.38,2.14
gpt-3.5,bb,1,ConsistencyN,0.5,0.437,0.435,0.437,0.4278,40,13.54,12.42,2.56
claude-3,bb,1,ConsistencyN,0.5,0.4699,0.4679,0.4719,0.4579,40,11.44,10.75,2.26
all,mathqa,1,ConsistencyN,0.5,0.525,0.5269,0.5255,0.5131,40,15.69,13.58,2.79
gpt-4,mathqa,1,ConsistencyN,0.5,0.6443,0.6392,0.6392,0.6443,40,9.21,8.02,2.68
gpt-3.5,mathqa,1,ConsistencyN,0.5,0.4675,0.4695,0.4675,0.4624,40,16.58,14.26,2.87
claude-3,mathqa,1,ConsistencyN,0.5,0.5586,0.5616,0.5606,0.5375,40,16.08,14.0,2.74
all,all,2,ConsistencyN,0.5,0.5429,0.5432,0.5432,0.543,40,14.4,12.44,5.98
gpt-4,all,2,ConsistencyN,0.5,0.657,0.6553,0.6553,0.6537,40,8.14,7.0,5.05
gpt-3.5,all,2,ConsistencyN,0.5,0.5135,0.5135,0.5125,0.5199,40,15.79,13.76,6.61
claude-3,all,2,ConsistencyN,0.5,0.5495,0.5506,0.5516,0.5442,40,14.26,12.21,5.53
all,gsm,2,ConsistencyN,0.5,0.6442,0.6446,0.6433,0.6424,40,15.5,12.64,6.56
gpt-4,gsm,2,ConsistencyN,0.5,0.8205,0.8154,0.8154,0.8154,40,7.84,6.63,4.09
gpt-3.5,gsm,2,ConsistencyN,0.5,0.634,0.634,0.631,0.635,40,17.23,14.59,7.64
claude-3,gsm,2,ConsistencyN,0.5,0.62,0.622,0.622,0.616,40,15.26,11.87,5.96
all,bb,2,ConsistencyN,0.5,0.4588,0.4574,0.4601,0.4569,40,12.02,11.1,4.54
