llm,benchmark,N,stop_algo,threshold,SC_ACC,ES_ACC,ASC_ACC,CASC_ACC,SC_Avg_Steps,ES_Avg_Steps,ASC_Avg_Steps,CASC_Avg_Steps
all,all,3,PositiveN,0.0,0.5429,0.5432,0.5432,0.5203,40,14.4,12.44,3.0
gpt-4,all,3,PositiveN,0.0,0.657,0.6553,0.6553,0.6435,40,8.14,7.0,3.0
gpt-3.5,all,3,PositiveN,0.0,0.5135,0.5135,0.5125,0.496,40,15.79,13.76,3.0
claude-3,all,3,PositiveN,0.0,0.5495,0.5506,0.5516,0.5202,40,14.26,12.21,3.0
all,gsm,3,PositiveN,0.0,0.6442,0.6446,0.6433,0.6128,40,15.5,12.64,3.0
gpt-4,gsm,3,PositiveN,0.0,0.8205,0.8154,0.8154,0.8103,40,7.84,6.63,3.0
gpt-3.5,gsm,3,PositiveN,0.0,0.634,0.634,0.631,0.605,40,17.23,14.59,3.0
claude-3,gsm,3,PositiveN,0.0,0.62,0.622,0.622,0.582,40,15.26,11.87,3.0
all,bb,3,PositiveN,0.0,0.4588,0.4574,0.4601,0.4482,40,12.02,11.1,3.0
gpt-4,bb,3,PositiveN,0.0,0.51,0.515,0.515,0.485,40,7.4,6.38,3.0
gpt-3.5,bb,3,PositiveN,0.0,0.437,0.435,0.437,0.4329,40,13.54,12.42,3.0
claude-3,bb,3,PositiveN,0.0,0.4699,0.4679,0.4719,0.4559,40,11.44,10.75,3.0
all,mathqa,3,PositiveN,0.0,0.525,0.5269,0.5255,0.4993,40,15.69,13.58,3.0
gpt-4,mathqa,3,PositiveN,0.0,0.6443,0.6392,0.6392,0.6392,40,9.21,8.02,3.0
gpt-3.5,mathqa,3,PositiveN,0.0,0.4675,0.4695,0.4675,0.4482,40,16.58,14.26,3.0
claude-3,mathqa,3,PositiveN,0.0,0.5586,0.5616,0.5606,0.5225,40,16.08,14.0,3.0
all,all,3,PositiveN,0.1,0.5429,0.5432,0.5432,0.5227,40,14.4,12.44,3.22
gpt-4,all,3,PositiveN,0.1,0.657,0.6553,0.6553,0.652,40,8.14,7.0,3.3
gpt-3.5,all,3,PositiveN,0.1,0.5135,0.5135,0.5125,0.4983,40,15.79,13.76,3.33
claude-3,all,3,PositiveN,0.1,0.5495,0.5506,0.5516,0.5215,40,14.26,12.21,3.09
all,gsm,3,PositiveN,0.1,0.6442,0.6446,0.6433,0.6137,40,15.5,12.64,3.11
gpt-4,gsm,3,PositiveN,0.1,0.8205,0.8154,0.8154,0.8154,40,7.84,6.63,3.05
gpt-3.5,gsm,3,PositiveN,0.1,0.634,0.634,0.631,0.604,40,17.23,14.59,3.18
claude-3,gsm,3,PositiveN,0.1,0.62,0.622,0.622,0.584,40,15.26,11.87,3.04
all,bb,3,PositiveN,0.1,0.4588,0.4574,0.4601,0.4459,40,12.02,11.1,3.16
gpt-4,bb,3,PositiveN,0.1,0.51,0.515,0.515,0.49,40,7.4,6.38,3.02
gpt-3.5,bb,3,PositiveN,0.1,0.437,0.435,0.437,0.4268,40,13.54,12.42,3.34
claude-3,bb,3,PositiveN,0.1,0.4699,0.4679,0.4719,0.4559,40,11.44,10.75,3.01
all,mathqa,3,PositiveN,0.1,0.525,0.5269,0.5255,0.508,40,15.69,13.58,3.39
gpt-4,mathqa,3,PositiveN,0.1,0.6443,0.6392,0.6392,0.6546,40,9.21,8.02,3.83
gpt-3.5,mathqa,3,PositiveN,0.1,0.4675,0.4695,0.4675,0.4624,40,16.58,14.26,3.48
claude-3,mathqa,3,PositiveN,0.1,0.5586,0.5616,0.5606,0.5245,40,16.08,14.0,3.21
all,all,3,PositiveN,0.2,0.5429,0.5432,0.5432,0.5217,40,14.4,12.44,3.26
gpt-4,all,3,PositiveN,0.2,0.657,0.6553,0.6553,0.6503,40,8.14,7.0,3.35
gpt-3.5,all,3,PositiveN,0.2,0.5135,0.5135,0.5125,0.4963,40,15.79,13.76,3.4
claude-3,all,3,PositiveN,0.2,0.5495,0.5506,0.5516,0.5215,40,14.26,12.21,3.12
all,gsm,3,PositiveN,0.2,0.6442,0.6446,0.6433,0.6137,40,15.5,12.64,3.15
gpt-4,gsm,3,PositiveN,0.2,0.8205,0.8154,0.8154,0.8154,40,7.84,6.63,3.05
gpt-3.5,gsm,3,PositiveN,0.2,0.634,0.634,0.631,0.604,40,17.23,14.59,3.24
claude-3,gsm,3,PositiveN,0.2,0.62,0.622,0.622,0.584,40,15.26,11.87,3.08
all,bb,3,PositiveN,0.2,0.4588,0.4574,0.4601,0.4441,40,12.02,11.1,3.19
gpt-4,bb,3,PositiveN,0.2,0.51,0.515,0.515,0.49,40,7.4,6.38,3.08
gpt-3.5,bb,3,PositiveN,0.2,0.437,0.435,0.437,0.4228,40,13.54,12.42,3.38
claude-3,bb,3,PositiveN,0.2,0.4699,0.4679,0.4719,0.4559,40,11.44,10.75,3.02
all,mathqa,3,PositiveN,0.2,0.525,0.5269,0.5255,0.5067,40,15.69,13.58,3.46
gpt-4,mathqa,3,PositiveN,0.2,0.6443,0.6392,0.6392,0.6495,40,9.21,8.02,3.93
gpt-3.5,mathqa,3,PositiveN,0.2,0.4675,0.4695,0.4675,0.4604,40,16.58,14.26,3.57
claude-3,mathqa,3,PositiveN,0.2,0.5586,0.5616,0.5606,0.5245,40,16.08,14.0,3.26
all,all,3,PositiveN,0.30000000000000004,0.5429,0.5432,0.5432,0.5314,40,14.4,12.44,4.64
gpt-4,all,3,PositiveN,0.30000000000000004,0.657,0.6553,0.6553,0.652,40,8.14,7.0,4.51
gpt-3.5,all,3,PositiveN,0.30000000000000004,0.5135,0.5135,0.5125,0.5054,40,15.79,13.76,4.74
claude-3,all,3,PositiveN,0.30000000000000004,0.5495,0.5506,0.5516,0.5335,40,14.26,12.21,4.56
all,gsm,3,PositiveN,0.30000000000000004,0.6442,0.6446,0.6433,0.6305,40,15.5,12.64,4.64
gpt-4,gsm,3,PositiveN,0.30000000000000004,0.8205,0.8154,0.8154,0.8154,40,7.84,6.63,4.2
gpt-3.5,gsm,3,PositiveN,0.30000000000000004,0.634,0.634,0.631,0.616,40,17.23,14.59,4.68
claude-3,gsm,3,PositiveN,0.30000000000000004,0.62,0.622,0.622,0.609,40,15.26,11.87,4.68
all,bb,3,PositiveN,0.30000000000000004,0.4588,0.4574,0.4601,0.4464,40,12.02,11.1,4.36
